"","description","NUTS_ID","area_total","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","FID"
"1","Bare rock","DE21",79087367.605028,2,"DE","Oberbayern","Oberbayern",0,NA,0,"DE21"
"2","Bare rock","DE25",154226.57065,2,"DE","Mittelfranken","Mittelfranken",0,NA,0,"DE25"
"3","Bare rock","DE27",17060041.9690594,2,"DE","Schwaben","Schwaben",0,NA,0,"DE27"
"4","Bare rock","DE80",85454.4409499,2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",0,NA,0,"DE80"
"5","Bare rock","DEA1",125318.88465,2,"DE","Düsseldorf","Düsseldorf",0,NA,0,"DEA1"
"6","Bare rock","DEA5",163876.76625,2,"DE","Arnsberg","Arnsberg",0,NA,0,"DEA5"
"7","Bare rock","DEB1",110140.05,2,"DE","Koblenz","Koblenz",0,NA,0,"DEB1"
"8","Bare rock","DED2",484972.85225,2,"DE","Dresden","Dresden",0,NA,0,"DED2"
"9","Bare rock","DEE0",158512.9475,2,"DE","Sachsen-Anhalt","Sachsen-Anhalt",0,NA,0,"DEE0"
"10","Bare rock","DEF0",145750.09825,2,"DE","Schleswig-Holstein","Schleswig-Holstein",0,NA,0,"DEF0"
"11","Beaches, dunes and sand plains","DE13",98983.195,2,"DE","Freiburg","Freiburg",0,NA,0,"DE13"
"12","Beaches, dunes and sand plains","DE21",27649250.083273,2,"DE","Oberbayern","Oberbayern",0,NA,0,"DE21"
"13","Beaches, dunes and sand plains","DE23",128306.7125,2,"DE","Oberpfalz","Oberpfalz",0,NA,0,"DE23"
"14","Beaches, dunes and sand plains","DE27",5934098.089,2,"DE","Schwaben","Schwaben",0,NA,0,"DE27"
"15","Beaches, dunes and sand plains","DE40",22701947.4366999,2,"DE","Brandenburg","Brandenburg",0,NA,0,"DE40"
"16","Beaches, dunes and sand plains","DE50",146744.79165,2,"DE","Bremen","Bremen",0,NA,0,"DE50"
"17","Beaches, dunes and sand plains","DE60",268737.66015,2,"DE","Hamburg","Hamburg",0,NA,0,"DE60"
"18","Beaches, dunes and sand plains","DE73",62722.7,2,"DE","Kassel","Kassel",0,NA,0,"DE73"
"19","Beaches, dunes and sand plains","DE80",7765785.0254096,2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",0,NA,0,"DE80"
"20","Beaches, dunes and sand plains","DE93",79821.0279002,2,"DE","Lüneburg","Lüneburg",0,NA,0,"DE93"
"21","Beaches, dunes and sand plains","DE94",36031412.4040497,2,"DE","Weser-Ems","Weser-Ems",0,NA,0,"DE94"
"22","Beaches, dunes and sand plains","DEA3",112390.647,2,"DE","Münster","Münster",0,NA,0,"DEA3"
"23","Beaches, dunes and sand plains","DEB2",68035.91375,2,"DE","Trier","Trier",0,NA,0,"DEB2"
"24","Beaches, dunes and sand plains","DEB3",82710.96375,2,"DE","Rheinhessen-Pfalz","Rheinhessen-Pfalz",0,NA,0,"DEB3"
"25","Beaches, dunes and sand plains","DED2",9093094.9351,2,"DE","Dresden","Dresden",0,NA,0,"DED2"
"26","Beaches, dunes and sand plains","DED5",829159.2423,2,"DE","Leipzig","Leipzig",0,NA,0,"DED5"
"27","Beaches, dunes and sand plains","DEE0",680638.0820495,2,"DE","Sachsen-Anhalt","Sachsen-Anhalt",0,NA,0,"DEE0"
"28","Beaches, dunes and sand plains","DEF0",20984724.0069315,2,"DE","Schleswig-Holstein","Schleswig-Holstein",0,NA,0,"DEF0"
"29","Beaches, dunes and sand plains","DEG0",104528.535,2,"DE","Thüringen","Thüringen",0,NA,0,"DEG0"
"30","Broad-leaved forest","DE11",2443608015.1568,2,"DE","Stuttgart","Stuttgart",0,NA,0,"DE11"
"31","Broad-leaved forest","DE12",1256690377.28995,2,"DE","Karlsruhe","Karlsruhe",0,NA,0,"DE12"
"32","Broad-leaved forest","DE13",1227215829.9556,2,"DE","Freiburg","Freiburg",0,NA,0,"DE13"
"33","Broad-leaved forest","DE14",1372178003.33245,2,"DE","Tübingen","Tübingen",0,NA,0,"DE14"
"34","Broad-leaved forest","DE21",693875134.08205,2,"DE","Oberbayern","Oberbayern",0,NA,0,"DE21"
"35","Broad-leaved forest","DE22",286340458.30855,2,"DE","Niederbayern","Niederbayern",0,NA,0,"DE22"
"36","Broad-leaved forest","DE23",207934394.581799,2,"DE","Oberpfalz","Oberpfalz",0,NA,0,"DE23"
"37","Broad-leaved forest","DE24",492848088.96155,2,"DE","Oberfranken","Oberfranken",0,NA,0,"DE24"
"38","Broad-leaved forest","DE25",442894469.1987,2,"DE","Mittelfranken","Mittelfranken",0,NA,0,"DE25"
"39","Broad-leaved forest","DE26",2068233369.0522,2,"DE","Unterfranken","Unterfranken",0,NA,0,"DE26"
"40","Broad-leaved forest","DE27",460380566.5972,2,"DE","Schwaben","Schwaben",0,NA,0,"DE27"
"41","Broad-leaved forest","DE30",41538802.7256499,2,"DE","Berlin","Berlin",0,NA,0,"DE30"
"42","Broad-leaved forest","DE40",1604844737.50597,2,"DE","Brandenburg","Brandenburg",0,NA,0,"DE40"
"43","Broad-leaved forest","DE50",13504671.5679507,2,"DE","Bremen","Bremen",0,NA,0,"DE50"
"44","Broad-leaved forest","DE60",30791002.8923496,2,"DE","Hamburg","Hamburg",0,NA,0,"DE60"
"45","Broad-leaved forest","DE71",2109432604.1157,2,"DE","Darmstadt","Darmstadt",0,NA,0,"DE71"
"46","Broad-leaved forest","DE72",1713276265.25615,2,"DE","Gießen","Gießen",0,NA,0,"DE72"
"47","Broad-leaved forest","DE73",2151823441.9683,2,"DE","Kassel","Kassel",0,NA,0,"DE73"
"48","Broad-leaved forest","DE80",2113550070.45834,2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",0,NA,0,"DE80"
"49","Broad-leaved forest","DE91",1646203462.37185,2,"DE","Braunschweig","Braunschweig",0,NA,0,"DE91"
"50","Broad-leaved forest","DE92",1310146799.34645,2,"DE","Hannover","Hannover",0,NA,0,"DE92"
"51","Broad-leaved forest","DE93",639298207.190748,2,"DE","Lüneburg","Lüneburg",0,NA,0,"DE93"
"52","Broad-leaved forest","DE94",549963386.159545,2,"DE","Weser-Ems","Weser-Ems",0,NA,0,"DE94"
"53","Broad-leaved forest","DEA1",572420404.960066,2,"DE","Düsseldorf","Düsseldorf",0,NA,0,"DEA1"
"54","Broad-leaved forest","DEA2",1150311957.5087,2,"DE","Köln","Köln",0,NA,0,"DEA2"
"55","Broad-leaved forest","DEA3",572129133.620624,2,"DE","Münster","Münster",0,NA,0,"DEA3"
"56","Broad-leaved forest","DEA4",1095163021.65245,2,"DE","Detmold","Detmold",0,NA,0,"DEA4"
"57","Broad-leaved forest","DEA5",1363291188.9531,2,"DE","Arnsberg","Arnsberg",0,NA,0,"DEA5"
"58","Broad-leaved forest","DEB1",2915343678.60085,2,"DE","Koblenz","Koblenz",0,NA,0,"DEB1"
"59","Broad-leaved forest","DEB2",1204520665.08397,2,"DE","Trier","Trier",0,NA,0,"DEB2"
"60","Broad-leaved forest","DEB3",1445582229.7377,2,"DE","Rheinhessen-Pfalz","Rheinhessen-Pfalz",0,NA,0,"DEB3"
"61","Broad-leaved forest","DEC0",741754687.383844,2,"DE","Saarland","Saarland",0,NA,0,"DEC0"
"62","Broad-leaved forest","DED2",365316922.552574,2,"DE","Dresden","Dresden",0,NA,0,"DED2"
"63","Broad-leaved forest","DED4",238048245.629438,2,"DE","Chemnitz","Chemnitz",0,NA,0,"DED4"
"64","Broad-leaved forest","DED5",287336126.4363,2,"DE","Leipzig","Leipzig",0,NA,0,"DED5"
"65","Broad-leaved forest","DEE0",1783478621.811,2,"DE","Sachsen-Anhalt","Sachsen-Anhalt",0,NA,0,"DEE0"
"66","Broad-leaved forest","DEF0",996903498.370053,2,"DE","Schleswig-Holstein","Schleswig-Holstein",0,NA,0,"DEF0"
"67","Broad-leaved forest","DEG0",2209923183.18469,2,"DE","Thüringen","Thüringen",0,NA,0,"DEG0"
"68","Burnt areas","DE80",83915.55875,2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",0,NA,0,"DE80"
"69","Burnt areas","DEA1",64557.6066,2,"DE","Düsseldorf","Düsseldorf",0,NA,0,"DEA1"
"70","Burnt areas","DEA3",64557.6066,2,"DE","Münster","Münster",0,NA,0,"DEA3"
"71","Coniferous forest","DE11",1041048978.4123,2,"DE","Stuttgart","Stuttgart",0,NA,0,"DE11"
"72","Coniferous forest","DE12",2879804738.29425,2,"DE","Karlsruhe","Karlsruhe",0,NA,0,"DE12"
"73","Coniferous forest","DE13",3410385315.09313,2,"DE","Freiburg","Freiburg",0,NA,0,"DE13"
"74","Coniferous forest","DE14",1460632069.28085,2,"DE","Tübingen","Tübingen",0,NA,0,"DE14"
"75","Coniferous forest","DE21",3263564886.56257,2,"DE","Oberbayern","Oberbayern",0,NA,0,"DE21"
