"","nuts_id","type_of_class","month_date","year_date","MIS","statistical_unit"
"110","DE111","class_x_4_3",4,2012,1,"nuts3"
"111","DE111","class_x_4_3",5,2007,1,"nuts3"
"112","DE111","class_x_4_3",8,2020,1,"nuts3"
"113","DE111","class_x_4_3",9,2018,1,"nuts3"
"114","DE111","class_x_4_4",2,2017,1,"nuts3"
"115","DE111","class_x_4_4",4,2012,1,"nuts3"
"116","DE111","class_x_4_4",5,2011,1,"nuts3"
"117","DE111","class_x_4_4",7,2020,1,"nuts3"
"118","DE111","class_x_4_4",8,2015,1,"nuts3"
"119","DE111","class_x_4_4",8,2018,3,"nuts3"
"120","DE111","class_x_4_4",9,2003,1,"nuts3"
"121","DE111","class_x_4_4",9,2019,1,"nuts3"
"122","DE111","class_x_4_4",10,2018,1,"nuts3"
"123","DE111","class_x_4_4",10,2019,1,"nuts3"
"124","DE111","class_x_4_4",10,2020,1,"nuts3"
"125","DE111","class_x_4_5",2,2017,1,"nuts3"
"126","DE111","class_x_4_5",3,2019,1,"nuts3"
"127","DE111","class_x_4_5",4,2012,1,"nuts3"
"128","DE111","class_x_4_5",6,2019,1,"nuts3"
"129","DE111","class_x_4_5",9,2003,1,"nuts3"
"130","DE111","class_x_5_1",2,2017,1,"nuts3"
"131","DE111","class_x_5_1",4,2012,1,"nuts3"
"132","DE111","class_x_5_1",5,2011,1,"nuts3"
"133","DE111","class_x_5_1",5,2020,1,"nuts3"
"134","DE111","class_x_5_1",7,2010,1,"nuts3"
"135","DE111","class_x_5_1",7,2015,1,"nuts3"
"136","DE111","class_x_5_1",7,2020,1,"nuts3"
"137","DE111","class_x_5_1",8,2014,1,"nuts3"
"138","DE111","class_x_5_1",8,2015,1,"nuts3"
"139","DE111","class_x_5_1",8,2018,5,"nuts3"
"140","DE111","class_x_5_1",8,2020,1,"nuts3"
"141","DE111","class_x_5_1",9,2003,2,"nuts3"
"142","DE111","class_x_5_1",9,2018,1,"nuts3"
"143","DE111","class_x_5_1",9,2019,1,"nuts3"
"144","DE111","class_x_5_1",9,2020,1,"nuts3"
"145","DE111","class_x_5_1",10,2018,1,"nuts3"
"146","DE111","class_x_5_1",10,2019,2,"nuts3"
"147","DE111","class_x_5_1",10,2020,1,"nuts3"
"148","DE111","class_x_5_1",11,2019,1,"nuts3"
"149","DE111","class_x_5_1",12,2018,1,"nuts3"
"150","DE111","class_x_5_2",2,2020,1,"nuts3"
"151","DE111","class_x_5_2",5,2003,1,"nuts3"
"152","DE111","class_x_5_2",5,2020,1,"nuts3"
"153","DE111","class_x_5_2",6,2008,1,"nuts3"
"154","DE111","class_x_5_2",7,2010,1,"nuts3"
"155","DE111","class_x_5_2",7,2015,1,"nuts3"
"156","DE111","class_x_5_2",7,2018,1,"nuts3"
"157","DE111","class_x_5_2",7,2019,1,"nuts3"
"158","DE111","class_x_5_2",8,2019,4,"nuts3"
"159","DE111","class_x_5_2",8,2020,2,"nuts3"
"160","DE111","class_x_5_2",9,2018,1,"nuts3"
"161","DE111","class_x_5_2",9,2019,1,"nuts3"
"162","DE111","class_x_5_2",10,2019,1,"nuts3"
"163","DE111","class_x_5_2",12,2017,1,"nuts3"
"164","DE111","class_x_5_3",2,2019,1,"nuts3"
"165","DE111","class_x_5_3",2,2020,1,"nuts3"
"166","DE111","class_x_5_3",4,2012,1,"nuts3"
"167","DE111","class_x_5_3",9,2018,1,"nuts3"
"168","DE111","class_x_5_3",10,2018,1,"nuts3"
"169","DE111","class_x_5_3",10,2019,1,"nuts3"
"170","DE111","class_x_5_5",10,2019,1,"nuts3"
"171","DE111","class_x_5_5",12,2017,1,"nuts3"
"172","DE112","class_x_1_1",4,2018,1,"nuts3"
"173","DE112","class_x_1_1",9,2019,1,"nuts3"
"174","DE112","class_x_1_4",8,2011,1,"nuts3"
"175","DE112","class_x_2_3",9,2003,1,"nuts3"
"176","DE112","class_x_3_2",5,2020,1,"nuts3"
"177","DE112","class_x_3_2",10,2019,1,"nuts3"
"178","DE112","class_x_3_2",11,2015,1,"nuts3"
"179","DE112","class_x_3_3",9,2003,1,"nuts3"
"180","DE112","class_x_3_4",1,2018,1,"nuts3"
"181","DE112","class_x_3_5",5,2020,1,"nuts3"
"182","DE112","class_x_3_5",11,2015,1,"nuts3"
"183","DE112","class_x_4_1",5,2018,1,"nuts3"
"184","DE112","class_x_4_1",9,2019,1,"nuts3"
"185","DE112","class_x_4_4",9,2003,1,"nuts3"
"186","DE112","class_x_4_4",12,2018,1,"nuts3"
"187","DE112","class_x_5_1",1,2018,1,"nuts3"
"188","DE112","class_x_5_1",5,2018,1,"nuts3"
"189","DE112","class_x_5_1",5,2020,1,"nuts3"
"190","DE112","class_x_5_1",9,2003,1,"nuts3"
"191","DE112","class_x_5_1",10,2019,1,"nuts3"
"192","DE112","class_x_5_1",12,2018,1,"nuts3"
"193","DE113","class_x_1_1",4,2018,1,"nuts3"
"194","DE113","class_x_1_1",5,2003,1,"nuts3"
"195","DE113","class_x_1_1",10,2018,1,"nuts3"
"196","DE113","class_x_1_1",11,2015,2,"nuts3"
"197","DE113","class_x_1_4",5,2003,1,"nuts3"
"198","DE113","class_x_2_3",9,2003,1,"nuts3"
"199","DE113","class_x_2_3",11,2015,1,"nuts3"
"200","DE113","class_x_3_2",10,2020,1,"nuts3"
"201","DE113","class_x_3_3",9,2003,1,"nuts3"
"202","DE113","class_x_3_3",10,2020,1,"nuts3"
"203","DE113","class_x_4_1",11,2015,2,"nuts3"
"204","DE113","class_x_4_2",11,2015,2,"nuts3"
"205","DE113","class_x_4_3",2,2017,1,"nuts3"
"206","DE113","class_x_4_3",10,2018,1,"nuts3"
"207","DE113","class_x_4_4",2,2017,1,"nuts3"
"208","DE113","class_x_4_4",9,2003,1,"nuts3"
"209","DE113","class_x_4_4",11,2015,1,"nuts3"
"210","DE113","class_x_5_1",2,2017,1,"nuts3"
"211","DE113","class_x_5_1",9,2003,1,"nuts3"
"212","DE113","class_x_5_2",6,2014,1,"nuts3"
"213","DE113","class_x_5_2",8,2005,1,"nuts3"
"214","DE113","class_x_5_2",8,2015,1,"nuts3"
"215","DE113","class_x_5_2",12,2007,1,"nuts3"
"216","DE113","class_x_5_3",5,2003,1,"nuts3"
"217","DE113","class_x_5_5",11,2015,2,"nuts3"
"218","DE114","class_x_1_1",4,2007,1,"nuts3"
"219","DE114","class_x_1_1",11,2015,1,"nuts3"
"220","DE114","class_x_1_4",1,2021,1,"nuts3"
"221","DE114","class_x_1_4",4,2007,1,"nuts3"
"222","DE114","class_x_1_4",8,2019,1,"nuts3"
"223","DE114","class_x_1_4",11,2015,1,"nuts3"
"224","DE114","class_x_2_1",8,2019,1,"nuts3"
"225","DE114","class_x_2_3",8,2019,1,"nuts3"
"226","DE114","class_x_2_3",11,2015,1,"nuts3"
"227","DE114","class_x_2_5",11,2015,1,"nuts3"
"228","DE114","class_x_4_1",5,2012,1,"nuts3"
"229","DE114","class_x_4_4",1,2021,1,"nuts3"
"230","DE114","class_x_4_5",1,2021,1,"nuts3"
"231","DE114","class_x_4_5",5,2012,1,"nuts3"
"232","DE114","class_x_5_1",1,2021,1,"nuts3"
"233","DE114","class_x_5_1",5,2012,1,"nuts3"
"234","DE114","class_x_5_2",1,2021,1,"nuts3"
"235","DE114","class_x_5_5",11,2015,1,"nuts3"
"236","DE115","class_x_1_1",4,2017,1,"nuts3"
"237","DE115","class_x_1_1",5,2011,1,"nuts3"
"238","DE115","class_x_1_1",6,2011,1,"nuts3"
"239","DE115","class_x_1_1",7,2017,1,"nuts3"
"240","DE115","class_x_1_1",8,2003,1,"nuts3"
"241","DE115","class_x_1_1",8,2019,1,"nuts3"
"242","DE115","class_x_1_1",9,2019,1,"nuts3"
"243","DE115","class_x_1_4",5,2011,1,"nuts3"
"244","DE115","class_x_1_4",7,2017,1,"nuts3"
"245","DE115","class_x_1_4",8,2003,1,"nuts3"
"246","DE115","class_x_1_4",8,2019,1,"nuts3"
"247","DE115","class_x_1_4",8,2020,1,"nuts3"
"248","DE115","class_x_1_4",9,2003,1,"nuts3"
"249","DE115","class_x_1_4",11,2020,2,"nuts3"
"250","DE115","class_x_1_4",12,2015,1,"nuts3"
"251","DE115","class_x_2_1",8,2003,1,"nuts3"
"252","DE115","class_x_2_1",11,2019,1,"nuts3"
"253","DE115","class_x_2_3",4,2020,1,"nuts3"
"254","DE115","class_x_2_3",8,2003,1,"nuts3"
"255","DE115","class_x_3_1",8,2019,1,"nuts3"
"256","DE115","class_x_3_1",9,2020,1,"nuts3"
"257","DE115","class_x_3_2",2,2019,1,"nuts3"
"258","DE115","class_x_3_2",3,2018,1,"nuts3"
"259","DE115","class_x_3_2",4,2017,1,"nuts3"
"260","DE115","class_x_3_2",7,2019,3,"nuts3"
"261","DE115","class_x_3_2",8,2003,1,"nuts3"
"262","DE115","class_x_3_2",8,2019,1,"nuts3"
"263","DE115","class_x_3_2",8,2020,1,"nuts3"
"264","DE115","class_x_3_2",9,2018,1,"nuts3"
"265","DE115","class_x_3_2",9,2019,1,"nuts3"
"266","DE115","class_x_3_2",9,2020,1,"nuts3"
"267","DE115","class_x_3_2",10,2018,1,"nuts3"
"268","DE115","class_x_3_2",10,2019,2,"nuts3"
"269","DE115","class_x_3_2",11,2018,1,"nuts3"
"270","DE115","class_x_3_2",11,2019,2,"nuts3"
"271","DE115","class_x_3_2",11,2020,2,"nuts3"
"272","DE115","class_x_3_2",12,2015,1,"nuts3"
"273","DE115","class_x_3_2",12,2018,1,"nuts3"
"274","DE115","class_x_3_2",12,2019,1,"nuts3"
"275","DE115","class_x_3_3",2,2019,1,"nuts3"
"276","DE115","class_x_3_3",3,2006,1,"nuts3"
"277","DE115","class_x_3_3",3,2018,1,"nuts3"
"278","DE115","class_x_3_3",4,2017,1,"nuts3"
"279","DE115","class_x_3_3",6,2004,1,"nuts3"
"280","DE115","class_x_3_3",7,2019,3,"nuts3"
"281","DE115","class_x_3_3",8,2003,1,"nuts3"
"282","DE115","class_x_3_3",8,2019,1,"nuts3"
