"","description","NUTS_ID","area_total","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","FID"
"1","Airports","DE11",6901680.6126,2,"DE","Stuttgart","Stuttgart",0,NA,0,"DE11"
"2","Airports","DE12",4675516.82965,2,"DE","Karlsruhe","Karlsruhe",0,NA,0,"DE12"
"3","Airports","DE13",7013700.1874,2,"DE","Freiburg","Freiburg",0,NA,0,"DE13"
"4","Airports","DE14",5328632.2715,2,"DE","Tübingen","Tübingen",0,NA,0,"DE14"
"5","Airports","DE21",36576073.8355,2,"DE","Oberbayern","Oberbayern",0,NA,0,"DE21"
"6","Airports","DE22",2262752.41695,2,"DE","Niederbayern","Niederbayern",0,NA,0,"DE22"
"7","Airports","DE23",1546948.81435,2,"DE","Oberpfalz","Oberpfalz",0,NA,0,"DE23"
"8","Airports","DE24",2992177.337,2,"DE","Oberfranken","Oberfranken",0,NA,0,"DE24"
"9","Airports","DE25",6351295.7417001,2,"DE","Mittelfranken","Mittelfranken",0,NA,0,"DE25"
"10","Airports","DE26",4337857.85705,2,"DE","Unterfranken","Unterfranken",0,NA,0,"DE26"
"11","Airports","DE27",10598069.9935003,2,"DE","Schwaben","Schwaben",0,NA,0,"DE27"
"12","Airports","DE30",4559248.8887,2,"DE","Berlin","Berlin",0,NA,0,"DE30"
"13","Airports","DE40",47645588.8643,2,"DE","Brandenburg","Brandenburg",0,NA,0,"DE40"
"14","Airports","DE50",3292324.51705,2,"DE","Bremen","Bremen",0,NA,0,"DE50"
"15","Airports","DE60",9817072.08085,2,"DE","Hamburg","Hamburg",0,NA,0,"DE60"
"16","Airports","DE71",23307126.61775,2,"DE","Darmstadt","Darmstadt",0,NA,0,"DE71"
"17","Airports","DE72",833522.3839,2,"DE","Gießen","Gießen",0,NA,0,"DE72"
"18","Airports","DE73",5929360.35125,2,"DE","Kassel","Kassel",0,NA,0,"DE73"
"19","Airports","DE80",25027019.7129,2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",0,NA,0,"DE80"
"20","Airports","DE91",2369083.71175,2,"DE","Braunschweig","Braunschweig",0,NA,0,"DE91"
"21","Airports","DE92",16413819.2035,2,"DE","Hannover","Hannover",0,NA,0,"DE92"
"22","Airports","DE93",15216556.17885,2,"DE","Lüneburg","Lüneburg",0,NA,0,"DE93"
"23","Airports","DE94",13771365.7936499,2,"DE","Weser-Ems","Weser-Ems",0,NA,0,"DE94"
"24","Airports","DEA1",16860237.30495,2,"DE","Düsseldorf","Düsseldorf",0,NA,0,"DEA1"
"25","Airports","DEA2",18287469.36832,2,"DE","Köln","Köln",0,NA,0,"DEA2"
"26","Airports","DEA3",7027508.7196,2,"DE","Münster","Münster",0,NA,0,"DEA3"
"27","Airports","DEA4",8113358.75505,2,"DE","Detmold","Detmold",0,NA,0,"DEA4"
"28","Airports","DEA5",5050263.4038,2,"DE","Arnsberg","Arnsberg",0,NA,0,"DEA5"
"29","Airports","DEB1",11167536.41935,2,"DE","Koblenz","Koblenz",0,NA,0,"DEB1"
"30","Airports","DEB2",10601910.9375,2,"DE","Trier","Trier",0,NA,0,"DEB2"
"31","Airports","DEB3",10998179.80105,2,"DE","Rheinhessen-Pfalz","Rheinhessen-Pfalz",0,NA,0,"DEB3"
"32","Airports","DEC0",1330928.69665,2,"DE","Saarland","Saarland",0,NA,0,"DEC0"
"33","Airports","DED2",9102134.44155,2,"DE","Dresden","Dresden",0,NA,0,"DED2"
"34","Airports","DED4",795341.23665,2,"DE","Chemnitz","Chemnitz",0,NA,0,"DED4"
"35","Airports","DED5",13747661.728,2,"DE","Leipzig","Leipzig",0,NA,0,"DED5"
"36","Airports","DEE0",15603789.37865,2,"DE","Sachsen-Anhalt","Sachsen-Anhalt",0,NA,0,"DEE0"
"37","Airports","DEF0",30023742.3409002,2,"DE","Schleswig-Holstein","Schleswig-Holstein",0,NA,0,"DEF0"
"38","Airports","DEG0",8550482.39895,2,"DE","Thüringen","Thüringen",0,NA,0,"DEG0"
"39","Construction sites","DE11",2902939.9839,2,"DE","Stuttgart","Stuttgart",0,NA,0,"DE11"
"40","Construction sites","DE12",3204335.8304002,2,"DE","Karlsruhe","Karlsruhe",0,NA,0,"DE12"
"41","Construction sites","DE13",5184943.16435,2,"DE","Freiburg","Freiburg",0,NA,0,"DE13"
"42","Construction sites","DE14",5284528.6228501,2,"DE","Tübingen","Tübingen",0,NA,0,"DE14"
"43","Construction sites","DE21",7749837.7937498,2,"DE","Oberbayern","Oberbayern",0,NA,0,"DE21"
"44","Construction sites","DE22",1804941.3549,2,"DE","Niederbayern","Niederbayern",0,NA,0,"DE22"
"45","Construction sites","DE23",1676092.3855007,2,"DE","Oberpfalz","Oberpfalz",0,NA,0,"DE23"
"46","Construction sites","DE24",693154.9600499,2,"DE","Oberfranken","Oberfranken",0,NA,0,"DE24"
"47","Construction sites","DE25",2317053.9242002,2,"DE","Mittelfranken","Mittelfranken",0,NA,0,"DE25"
"48","Construction sites","DE26",2307959.8091003,2,"DE","Unterfranken","Unterfranken",0,NA,0,"DE26"
"49","Construction sites","DE27",2977693.4581999,2,"DE","Schwaben","Schwaben",0,NA,0,"DE27"
"50","Construction sites","DE30",943655.1643001,2,"DE","Berlin","Berlin",0,NA,0,"DE30"
"51","Construction sites","DE40",7027228.3388997,2,"DE","Brandenburg","Brandenburg",0,NA,0,"DE40"
"52","Construction sites","DE50",1112711.9940999,2,"DE","Bremen","Bremen",0,NA,0,"DE50"
"53","Construction sites","DE60",3410377.8728,2,"DE","Hamburg","Hamburg",0,NA,0,"DE60"
"54","Construction sites","DE71",3133332.0880998,2,"DE","Darmstadt","Darmstadt",0,NA,0,"DE71"
"55","Construction sites","DE72",554998.67,2,"DE","Gießen","Gießen",0,NA,0,"DE72"
"56","Construction sites","DE73",1564417.2509499,2,"DE","Kassel","Kassel",0,NA,0,"DE73"
"57","Construction sites","DE80",3654797.6053998,2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",0,NA,0,"DE80"
"58","Construction sites","DE91",1227175.6379501,2,"DE","Braunschweig","Braunschweig",0,NA,0,"DE91"
"59","Construction sites","DE92",2115661.9032997,2,"DE","Hannover","Hannover",0,NA,0,"DE92"
"60","Construction sites","DE93",3545151.6097003,2,"DE","Lüneburg","Lüneburg",0,NA,0,"DE93"
"61","Construction sites","DE94",4423370.1824499,2,"DE","Weser-Ems","Weser-Ems",0,NA,0,"DE94"
"62","Construction sites","DEA1",2438351.1510001,2,"DE","Düsseldorf","Düsseldorf",0,NA,0,"DEA1"
"63","Construction sites","DEA2",3494825.6646497,2,"DE","Köln","Köln",0,NA,0,"DEA2"
"64","Construction sites","DEA3",3503040.4083002,2,"DE","Münster","Münster",0,NA,0,"DEA3"
"65","Construction sites","DEA4",2078382.6361001,2,"DE","Detmold","Detmold",0,NA,0,"DEA4"
