"","description","NUTS_ID","area_total","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","FID","area_size_total"
"1","Airports","DE111",4261807.06885,3,"DE","Stuttgart, Stadtkreis","Stuttgart, Stadtkreis",4,1,3,"DE111",209459332.984597
"2","Airports","DE113",4052950.3413,3,"DE","Esslingen","Esslingen",4,1,3,"DE113",637687275.7672
"3","Airports","DE115",208856.72755,3,"DE","Ludwigsburg","Ludwigsburg",4,1,3,"DE115",683835555.132229
"4","Airports","DE11A",797446.98125,3,"DE","Schwäbisch Hall","Schwäbisch Hall",4,3,3,"DE11A",1479990188.05282
"5","Airports","DE11B",821200.45125,3,"DE","Main-Tauber-Kreis","Main-Tauber-Kreis",4,3,3,"DE11B",1300107441.78518
"6","Airports","DE11C",112152.3275,3,"DE","Heidenheim","Heidenheim",4,2,3,"DE11C",625014561.082151
"7","Airports","DE11D",909073.78375,3,"DE","Ostalbkreis","Ostalbkreis",4,2,3,"DE11D",1506444274.03493
"8","Airports","DE124",2617564.96985,3,"DE","Rastatt","Rastatt",4,1,3,"DE124",737252084.371221
"9","Airports","DE125",166635.9775,3,"DE","Heidelberg, Stadtkreis","Heidelberg, Stadtkreis",3,1,3,"DE125",109241678.578586
"10","Airports","DE126",1626755.5823,3,"DE","Mannheim, Stadtkreis","Mannheim, Stadtkreis",4,1,3,"DE126",144646676.039241
"11","Airports","DE127",264560.3,3,"DE","Neckar-Odenwald-Kreis","Neckar-Odenwald-Kreis",4,3,3,"DE127",1122293302.34478
"12","Airports","DE131",563608.545,3,"DE","Freiburg im Breisgau, Stadtkreis","Freiburg im Breisgau, Stadtkreis",4,2,3,"DE131",153643363.805125
"13","Airports","DE132",1731409.64155,3,"DE","Breisgau-Hochschwarzwald","Breisgau-Hochschwarzwald",2,2,3,"DE132",1372919672.67678
"14","Airports","DE134",2506301.60305,3,"DE","Ortenaukreis","Ortenaukreis",2,2,3,"DE134",1854081564.26498
"15","Airports","DE135",357442.5284,3,"DE","Rottweil","Rottweil",4,3,3,"DE135",767480770.75951
"16","Airports","DE136",1185066.1225,3,"DE","Schwarzwald-Baar-Kreis","Schwarzwald-Baar-Kreis",4,2,3,"DE136",1023377574.25891
"17","Airports","DE137",588165.0597,3,"DE","Tuttlingen","Tuttlingen",3,2,3,"DE137",730987894.007139
"18","Airports","DE138",81706.6872,3,"DE","Konstanz","Konstanz",4,2,3,"DE138",860752400.482747
"19","Airports","DE142",175489.93375,3,"DE","Tübingen, Landkreis","Tübingen, Landkreis",4,2,3,"DE142",518122021.825817
"20","Airports","DE145",277494.87125,3,"DE","Alb-Donau-Kreis","Alb-Donau-Kreis",4,2,3,"DE145",1353215542.61548
"21","Airports","DE146",1677785.25,3,"DE","Biberach","Biberach",4,3,3,"DE146",1406133838.14793
"22","Airports","DE147",1867990.96055,3,"DE","Bodenseekreis","Bodenseekreis",4,2,3,"DE147",878896543.821782
"23","Airports","DE148",263011.5772,3,"DE","Ravensburg","Ravensburg",4,2,3,"DE148",1628146327.00612
"24","Airports","DE149",1066859.67875,3,"DE","Sigmaringen","Sigmaringen",4,3,3,"DE149",1201216409.93791
"25","Airports","DE212",1665418.07695,3,"DE","München, Kreisfreie Stadt","München, Kreisfreie Stadt",4,1,3,"DE212",310851367.040959
"26","Airports","DE216",184871.24125,3,"DE","Bad Tölz-Wolfratshausen","Bad Tölz-Wolfratshausen",2,2,3,"DE216",1108559659.83459
"27","Airports","DE21A",18265305.7438,3,"DE","Erding","Erding",4,3,3,"DE21A",868129868.503692
"28","Airports","DE21B",15668142.6088,3,"DE","Freising","Freising",4,2,3,"DE21B",796801997.99087
"29","Airports","DE21C",3509504.5111,3,"DE","Fürstenfeldbruck","Fürstenfeldbruck",4,2,3,"DE21C",433014822.207921
"30","Airports","DE21E",1803751.43125,3,"DE","Landsberg am Lech","Landsberg am Lech",4,3,3,"DE21E",800835445.616508
"31","Airports","DE21G",251370.78375,3,"DE","Mühldorf a. Inn","Mühldorf a. Inn",4,3,3,"DE21G",802653706.817235
"32","Airports","DE21H",1665418.07695,3,"DE","München, Landkreis","München, Landkreis",4,1,3,"DE21H",662053206.014386
"33","Airports","DE21I",2098280.5126,3,"DE","Neuburg-Schrobenhausen","Neuburg-Schrobenhausen",4,3,3,"DE21I",738517914.069603
"34","Airports","DE21J",6409981.10195,3,"DE","Pfaffenhofen a. d. Ilm","Pfaffenhofen a. d. Ilm",4,2,3,"DE21J",758554930.119659
"35","Airports","DE21K",64521.47125,3,"DE","Rosenheim, Landkreis","Rosenheim, Landkreis",4,2,3,"DE21K",1436954898.31438
"36","Airports","DE21L",2152839.57155,3,"DE","Starnberg","Starnberg",4,2,3,"DE21L",484541843.488374
"37","Airports","DE21M",170229.39005,3,"DE","Traunstein","Traunstein",4,3,3,"DE21M",1528860463.10918
"38","Airports","DE221",356505.87625,3,"DE","Landshut, Kreisfreie Stadt","Landshut, Kreisfreie Stadt",4,3,3,"DE221",66034598.271698
"39","Airports","DE223",474289.98945,3,"DE","Straubing, Kreisfreie Stadt","Straubing, Kreisfreie Stadt",4,3,3,"DE223",66761520.0778466
"40","Airports","DE224",56435.52,3,"DE","Deggendorf","Deggendorf",4,3,3,"DE224",858158487.162873
"41","Airports","DE227",356505.87625,3,"DE","Landshut, Landkreis","Landshut, Landkreis",4,3,3,"DE227",1342907202.87544
"42","Airports","DE228",199040.2525,3,"DE","Passau, Landkreis","Passau, Landkreis",4,3,3,"DE228",1523865099.65623
"43","Airports","DE229",57829.27875,3,"DE","Regen","Regen",3,3,3,"DE229",970683671.672835
"44","Airports","DE22A",338301.82375,3,"DE","Rottal-Inn","Rottal-Inn",4,3,3,"DE22A",1278010700.21668
"45","Airports","DE22B",1254639.6657,3,"DE","Straubing-Bogen","Straubing-Bogen",4,3,3,"DE22B",1198524511.6933
"46","Airports","DE233",80842.79,3,"DE","Weiden i. d. Opf, Kreisfreie Stadt","Weiden i. d. Opf, Kreisfreie Stadt",4,3,3,"DE233",70562106.5784364
"47","Airports","DE234",370206.65875,3,"DE","Amberg-Sulzbach","Amberg-Sulzbach",4,2,3,"DE234",1250295714.7081
"48","Airports","DE236",380144.8231,3,"DE","Neumarkt i. d. OPf.","Neumarkt i. d. OPf.",4,3,3,"DE236",1339835321.97682
"49","Airports","DE237",816440.56,3,"DE","Neustadt a. d. Waldnaab","Neustadt a. d. Waldnaab",4,3,3,"DE237",1423179290.52152
"50","Airports","DE238",81501.745,3,"DE","Regensburg, Landkreis","Regensburg, Landkreis",4,2,3,"DE238",1387937249.4449
"51","Airports","DE239",136198.6472,3,"DE","Schwandorf","Schwandorf",4,3,3,"DE239",1454459568.63003
"52","Airports","DE23A",51820.24905,3,"DE","Tirschenreuth","Tirschenreuth",4,3,3,"DE23A",1080776361.39905
"53","Airports","DE241",788696.4753,3,"DE","Bamberg, Kreisfreie Stadt","Bamberg, Kreisfreie Stadt",4,2,3,"DE241",54370931.2863165
"54","Airports","DE243",308372.4,3,"DE","Coburg, Kreisfreie Stadt","Coburg, Kreisfreie Stadt",4,2,3,"DE243",48232355.5208854
"55","Airports","DE244",485841.11,3,"DE","Hof, Kreisfreie Stadt","Hof, Kreisfreie Stadt",4,2,3,"DE244",58561037.721912
"56","Airports","DE245",788696.4753,3,"DE","Bamberg, Landkreis","Bamberg, Landkreis",4,2,3,"DE245",1163490716.4664
"57","Airports","DE246",619243.1947,3,"DE","Bayreuth, Landkreis","Bayreuth, Landkreis",4,2,3,"DE246",1269080742.14044
"58","Airports","DE248",389439.66125,3,"DE","Forchheim","Forchheim",4,2,3,"DE248",640788992.526153
"59","Airports","DE249",202138.322,3,"DE","Hof, Landkreis","Hof, Landkreis",4,2,3,"DE249",889914216.550181
"60","Airports","DE24B",198446.17375,3,"DE","Kulmbach","Kulmbach",4,3,3,"DE24B",655531657.301878
"61","Airports","DE251",662566.065,3,"DE","Ansbach, Kreisfreie Stadt","Ansbach, Kreisfreie Stadt",4,3,3,"DE251",100244484.468004
"62","Airports","DE254",2657185.43375,3,"DE","Nürnberg, Kreisfreie Stadt","Nürnberg, Kreisfreie Stadt",4,1,3,"DE254",186956060.51716
"63","Airports","DE256",128830.705,3,"DE","Ansbach, Landkreis","Ansbach, Landkreis",4,3,3,"DE256",1965641192.3569
"64","Airports","DE257",205814.3225,3,"DE","Erlangen-Höchstadt","Erlangen-Höchstadt",4,1,3,"DE257",563182081.287654
"65","Airports","DE259",114304.31,3,"DE","Nürnberger Land","Nürnberger Land",4,2,3,"DE259",795464107.993382
"66","Airports","DE25A",1264848.09175,3,"DE","Neustadt a. d. Aisch-Bad Windsheim","Neustadt a. d. Aisch-Bad Windsheim",4,3,3,"DE25A",1262991740.25767
"67","Airports","DE25B",1356523.6949501,3,"DE","Roth","Roth",4,2,3,"DE25B",893001106.987354
"68","Airports","DE25C",75527.42875,3,"DE","Weißenburg-Gunzenhausen","Weißenburg-Gunzenhausen",4,3,3,"DE25C",966766068.510576
"69","Airports","DE263",211235.0084,3,"DE","Würzburg, Kreisfreie Stadt","Würzburg, Kreisfreie Stadt",4,2,3,"DE263",87998635.7738157
"70","Airports","DE264",208324.91125,3,"DE","Aschaffenburg, Landkreis","Aschaffenburg, Landkreis",4,1,3,"DE264",696856602.868361
"71","Airports","DE265",224761.155,3,"DE","Bad Kissingen","Bad Kissingen",4,3,3,"DE265",1133145559.73375
"72","Airports","DE266",122041.72345,3,"DE","Rhön-Grabfeld","Rhön-Grabfeld",4,3,3,"DE266",1018302238.08918
"73","Airports","DE267",356813.4402,3,"DE","Haßberge","Haßberge",4,3,3,"DE267",953834782.268658
"74","Airports","DE268",1072715.09125,3,"DE","Kitzingen","Kitzingen",4,3,3,"DE268",681205592.782377
"75","Airports","DE269",96509.79125,3,"DE","Miltenberg","Miltenberg",2,2,3,"DE269",712529875.38887
"76","Airports","DE26A",51786.2125,3,"DE","Main-Spessart","Main-Spessart",4,3,3,"DE26A",1318016037.16022
"77","Airports","DE26B",411699.82875,3,"DE","Schweinfurt, Landkreis","Schweinfurt, Landkreis",4,2,3,"DE26B",838721940.047834
"78","Airports","DE26C",1581970.695,3,"DE","Würzburg, Landkreis","Würzburg, Landkreis",4,2,3,"DE26C",963496379.356398
"79","Airports","DE271",733524.77625,3,"DE","Augsburg, Kreisfreie Stadt","Augsburg, Kreisfreie Stadt",4,1,3,"DE271",145624730.972457
"80","Airports","DE272",1637379.9938,3,"DE","Kaufbeuren, Kreisfreie Stadt","Kaufbeuren, Kreisfreie Stadt",4,2,3,"DE272",40325607.0681962
