"","description","NUTS_ID","area_total","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","FID"
"45","Non-irrigated arable land","DE25",3745161246.04547,2,"DE","Mittelfranken","Mittelfranken",0,NA,0,"DE25"
"46","Non-irrigated arable land","DE26",4281906404.99265,2,"DE","Unterfranken","Unterfranken",0,NA,0,"DE26"
"47","Non-irrigated arable land","DE27",3941031522.7329,2,"DE","Schwaben","Schwaben",0,NA,0,"DE27"
"48","Non-irrigated arable land","DE30",98182373.0783,2,"DE","Berlin","Berlin",0,NA,0,"DE30"
"49","Non-irrigated arable land","DE40",13552908508.9353,2,"DE","Brandenburg","Brandenburg",0,NA,0,"DE40"
"50","Non-irrigated arable land","DE50",2785959573.35945,2,"DE","Bremen","Bremen",0,NA,0,"DE50"
"51","Non-irrigated arable land","DE60",86589389.0938501,2,"DE","Hamburg","Hamburg",0,NA,0,"DE60"
"52","Non-irrigated arable land","DE71",1918461557.7148,2,"DE","Darmstadt","Darmstadt",0,NA,0,"DE71"
"53","Non-irrigated arable land","DE72",1343949879.47085,2,"DE","Gießen","Gießen",0,NA,0,"DE72"
"54","Non-irrigated arable land","DE73",3039100779.2625,2,"DE","Kassel","Kassel",0,NA,0,"DE73"
"55","Non-irrigated arable land","DE80",12787619502.9257,2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",0,NA,0,"DE80"
"56","Non-irrigated arable land","DE91",7711088039.13825,2,"DE","Braunschweig","Braunschweig",0,NA,0,"DE91"
"57","Non-irrigated arable land","DE92",7319004966.091,2,"DE","Hannover","Hannover",0,NA,0,"DE92"
"58","Non-irrigated arable land","DE93",9960744347.4647,2,"DE","Lüneburg","Lüneburg",0,NA,0,"DE93"
"59","Non-irrigated arable land","DE94",12184945696.4366,2,"DE","Weser-Ems","Weser-Ems",0,NA,0,"DE94"
"60","Non-irrigated arable land","DEA1",2764156274.56063,2,"DE","Düsseldorf","Düsseldorf",0,NA,0,"DEA1"
"61","Non-irrigated arable land","DEA2",2144015424.495,2,"DE","Köln","Köln",0,NA,0,"DEA2"
"62","Non-irrigated arable land","DEA3",8010314271.25327,2,"DE","Münster","Münster",0,NA,0,"DEA3"
"63","Non-irrigated arable land","DEA4",8024542651.4668,2,"DE","Detmold","Detmold",0,NA,0,"DEA4"
"64","Non-irrigated arable land","DEA5",3441202875.93305,2,"DE","Arnsberg","Arnsberg",0,NA,0,"DEA5"
