"","description","NUTS_ID","area_total","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","FID","area_size_total"
"1","Coasta salth marshes","DE502",3652868.83345,3,"DE","Bremerhaven, Kreisfreie Stadt","Bremerhaven, Kreisfreie Stadt",4,2,1,"DE502",93814787.8011778
"2","Coasta salth marshes","DE600",2651139.98,3,"DE","Hamburg","Hamburg",4,1,1,"DE600",752829856.137627
"3","Coasta salth marshes","DE80L",2766934.64845,3,"DE","Vorpommern-Rügen","Vorpommern-Rügen",4,3,1,"DE80L",3166412329.30647
"4","Coasta salth marshes","DE80M",912898.35125,3,"DE","Nordwestmecklenburg","Nordwestmecklenburg",4,3,1,"DE80M",2124495935.96764
"5","Coasta salth marshes","DE932",14987212.27835,3,"DE","Cuxhaven","Cuxhaven",4,2,1,"DE932",2060562912.84052
"6","Coasta salth marshes","DE939",15787380.5119,3,"DE","Stade","Stade",4,2,1,"DE939",1265908947.07304
"7","Coasta salth marshes","DE942",2304830.42445,3,"DE","Emden, Kreisfreie Stadt","Emden, Kreisfreie Stadt",4,2,1,"DE942",111709801.105318
"8","Coasta salth marshes","DE945",4936110.2244,3,"DE","Wilhelmshaven, Kreisfreie Stadt","Wilhelmshaven, Kreisfreie Stadt",4,2,1,"DE945",107322895.388487
"9","Coasta salth marshes","DE947",31969038.272,3,"DE","Aurich","Aurich",4,2,1,"DE947",1293410720.66243
"10","Coasta salth marshes","DE94A",19132255.3922,3,"DE","Friesland (DE)","Friesland (DE)",4,2,1,"DE94A",617808851.718435
"11","Coasta salth marshes","DE94C",9168160.869749,3,"DE","Leer","Leer",4,2,1,"DE94C",1066486768.09976
"12","Coasta salth marshes","DE94G",16258943.99805,3,"DE","Wesermarsch","Wesermarsch",4,2,1,"DE94G",827712458.397358
"13","Coasta salth marshes","DE94H",8430886.603,3,"DE","Wittmund","Wittmund",4,3,1,"DE94H",659207812.080524
"14","Coasta salth marshes","DEF05",42772390.07825,3,"DE","Dithmarschen","Dithmarschen",4,3,1,"DEF05",1442189904.68907
"15","Coasta salth marshes","DEF07",98716108.1378001,3,"DE","Nordfriesland","Nordfriesland",4,3,1,"DEF07",2082788701.61271
"16","Coasta salth marshes","DEF0E",1158671.92505,3,"DE","Steinburg","Steinburg",4,2,1,"DEF0E",1056208586.18438
"17","Inland marshes","DE112",336389.355,3,"DE","Böblingen","Böblingen",4,1,3,"DE112",616706354.998487
"18","Inland marshes","DE113",210570.7875,3,"DE","Esslingen","Esslingen",4,1,3,"DE113",639653087.634639
"19","Inland marshes","DE114",54545.87875,3,"DE","Göppingen","Göppingen",3,1,3,"DE114",642175034.832007
"20","Inland marshes","DE115",244750.7605,3,"DE","Ludwigsburg","Ludwigsburg",4,1,3,"DE115",685990294.660686
"21","Inland marshes","DE118",109714.19595,3,"DE","Heilbronn, Landkreis","Heilbronn, Landkreis",4,2,3,"DE118",1098993992.80318
"22","Inland marshes","DE11A",213670.15625,3,"DE","Schwäbisch Hall","Schwäbisch Hall",4,3,3,"DE11A",1484723816.9574
"23","Inland marshes","DE11C",143980.00285,3,"DE","Heidenheim","Heidenheim",4,2,3,"DE11C",626943384.753197
"24","Inland marshes","DE11D",543139.3275,3,"DE","Ostalbkreis","Ostalbkreis",4,2,3,"DE11D",1511168828.10402
