"","description","NUTS_ID","area_total","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","FID","area_size_total"
"1","Coastal lagoons","DE803",12862857.1182,3,"DE","Rostock, Kreisfreie Stadt","Rostock, Kreisfreie Stadt",4,2,1,"DE803",169250912.438794
"2","Coastal lagoons","DE80K",38263461.9932,3,"DE","Landkreis Rostock","Landkreis Rostock",4,2,1,"DE80K",3430059208.18993
"3","Coastal lagoons","DE80L",589089898.71255,3,"DE","Vorpommern-Rügen","Vorpommern-Rügen",4,3,1,"DE80L",3166412329.30647
"4","Coastal lagoons","DE80M",42572984.973,3,"DE","Nordwestmecklenburg","Nordwestmecklenburg",4,3,1,"DE80M",2124495935.96764
"5","Coastal lagoons","DE80N",461926859.05545,3,"DE","Vorpommern-Greifswald","Vorpommern-Greifswald",4,3,1,"DE80N",3796376086.49198
"6","Coastal lagoons","DEF08",2968810.2923,3,"DE","Ostholstein","Ostholstein",4,2,1,"DEF08",1386481398.83516
"7","Coastal lagoons","DEF0A",431732.93,3,"DE","Plön","Plön",4,1,1,"DEF0A",1082990962.44124
"8","Coastal lagoons","DEF0B",52772585.47015,3,"DE","Rendsburg-Eckernförde","Rendsburg-Eckernförde",4,2,1,"DEF0B",2169436142.8087
"9","Coastal lagoons","DEF0C",52707736.34475,3,"DE","Schleswig-Flensburg","Schleswig-Flensburg",4,2,1,"DEF0C",1991617450.81926
"10","Esruaries","DE501",70639901.5367,3,"DE","Bremen, Kreisfreie Stadt","Bremen, Kreisfreie Stadt",4,1,1,"DE501",325592393.953141
"11","Esruaries","DE502",70639901.5367,3,"DE","Bremerhaven, Kreisfreie Stadt","Bremerhaven, Kreisfreie Stadt",4,2,1,"DE502",93814787.8011778
"12","Esruaries","DE600",281380269.389,3,"DE","Hamburg","Hamburg",4,1,1,"DE600",752829856.137627
"13","Esruaries","DE932",352077835.6701,3,"DE","Cuxhaven","Cuxhaven",4,2,1,"DE932",2060562912.84052
"14","Esruaries","DE933",281380269.389,3,"DE","Harburg","Harburg",4,2,3,"DE933",1249808737.9316
"15","Esruaries","DE936",70639901.5367,3,"DE","Osterholz","Osterholz",4,2,2,"DE936",652500580.070263
"16","Esruaries","DE939",281380269.389,3,"DE","Stade","Stade",4,2,1,"DE939",1265908947.07304
"17","Esruaries","DE942",75603645.8782,3,"DE","Emden, Kreisfreie Stadt","Emden, Kreisfreie Stadt",4,2,1,"DE942",111709801.105318
"18","Esruaries","DE947",75858629.67165,3,"DE","Aurich","Aurich",4,2,1,"DE947",1293410720.66243
"19","Esruaries","DE94A",310068.91195,3,"DE","Friesland (DE)","Friesland (DE)",4,2,1,"DE94A",617808851.718435
"20","Esruaries","DE94C",75603645.8782,3,"DE","Leer","Leer",4,2,1,"DE94C",1066486768.09976
"21","Esruaries","DE94G",70908778.50405,3,"DE","Wesermarsch","Wesermarsch",4,2,1,"DE94G",827712458.397358
